Link,Name,Disease Name
http://babelnet.org/rdf/page/s00000219n,s00000219n,abasia
http://babelnet.org/rdf/page/s00000337n,s00000337n,ablepharia
http://babelnet.org/rdf/page/s00000377n,s00000377n,abulia
http://babelnet.org/rdf/page/s00000602n,s00000602n,acanthosis nigricans
http://babelnet.org/rdf/page/s00000880n,s00000880n,achlorhydria
http://babelnet.org/rdf/page/s00000970n,s00000970n,auditory aphasia
http://babelnet.org/rdf/page/s00001043n,s00001043n,oxycephaly
http://babelnet.org/rdf/page/s00001214n,s00001214n,herpes simplex encephalitis
http://babelnet.org/rdf/page/s00001292n,s00001292n,Addison's disease
http://babelnet.org/rdf/page/s00001335n,s00001335n,adenocarcinoma
http://babelnet.org/rdf/page/s00001680n,s00001680n,air embolism
http://babelnet.org/rdf/page/s00002493n,s00002493n,albuminuria
http://babelnet.org/rdf/page/s00002527n,s00002527n,dipsomania
http://babelnet.org/rdf/page/s00003007n,s00003007n,alopecia
http://babelnet.org/rdf/page/s00003311n,s00003311n,amebic dysentery
http://babelnet.org/rdf/page/s00003320n,s00003320n,amelia
http://babelnet.org/rdf/page/s00003715n,s00003715n,atonicity
http://babelnet.org/rdf/page/s00003775n,s00003775n,analbuminemia
http://babelnet.org/rdf/page/s00003855n,s00003855n,anasarca
http://babelnet.org/rdf/page/s00004060n,s00004060n,aneurysm
http://babelnet.org/rdf/page/s00004226n,s00004226n,animal disease
http://babelnet.org/rdf/page/s00004423n,s00004423n,anorchism
http://babelnet.org/rdf/page/s00004569n,s00004569n,anthrax
http://babelnet.org/rdf/page/s00004866n,s00004866n,aphakia
http://babelnet.org/rdf/page/s00005199n,s00005199n,tetany
http://babelnet.org/rdf/page/s00005883n,s00005883n,cardiac arrhythmia
http://babelnet.org/rdf/page/s00006396n,s00006396n,aspergillosis
http://babelnet.org/rdf/page/s00006551n,s00006551n,conduction aphasia
http://babelnet.org/rdf/page/s00006577n,s00006577n,astasia
http://babelnet.org/rdf/page/s00006619n,s00006619n,astigmatism
http://babelnet.org/rdf/page/s00006706n,s00006706n,motor aphasia
http://babelnet.org/rdf/page/s00006709n,s00006709n,atelectasis
http://babelnet.org/rdf/page/s00006710n,s00006710n,ateleiosis
http://babelnet.org/rdf/page/s00006748n,s00006748n,tinea pedis
http://babelnet.org/rdf/page/s00006979n,s00006979n,atrophy
http://babelnet.org/rdf/page/s00007074n,s00007074n,atypical pneumonia
http://babelnet.org/rdf/page/s00007349n,s00007349n,autoimmune disease
http://babelnet.org/rdf/page/s00007582n,s00007582n,uremia
http://babelnet.org/rdf/page/s00007933n,s00007933n,bagassosis
http://babelnet.org/rdf/page/s00008327n,s00008327n,bowleg
http://babelnet.org/rdf/page/s00009482n,s00009482n,bed-wetting
http://babelnet.org/rdf/page/s00010673n,s00010673n,birth defect
http://babelnet.org/rdf/page/s00010995n,s00010995n,hairy tongue
http://babelnet.org/rdf/page/s00011055n,s00011055n,blackwater
http://babelnet.org/rdf/page/s00011192n,s00011192n,hemophilia
http://babelnet.org/rdf/page/s00011271n,s00011271n,blindness
http://babelnet.org/rdf/page/s00011303n,s00011303n,bloat
http://babelnet.org/rdf/page/s00012249n,s00012249n,epidemic pleurodynia
http://babelnet.org/rdf/page/s00012453n,s00012453n,Marseilles fever
http://babelnet.org/rdf/page/s00012695n,s00012695n,cerebral edema
http://babelnet.org/rdf/page/s00012702n,s00012702n,brain tumor
http://babelnet.org/rdf/page/s00012772n,s00012772n,rhinophyma
http://babelnet.org/rdf/page/s00012902n,s00012902n,fracture
http://babelnet.org/rdf/page/s00012953n,s00012953n,breast cancer
http://babelnet.org/rdf/page/s00013313n,s00013313n,bronchitis
http://babelnet.org/rdf/page/s00013332n,s00013332n,hemochromatosis
http://babelnet.org/rdf/page/s00015206n,s00015206n,candidiasis
http://babelnet.org/rdf/page/s00015909n,s00015909n,carcinoid
http://babelnet.org/rdf/page/s00015910n,s00015910n,carcinoma
http://babelnet.org/rdf/page/s00015975n,s00015975n,cardiogenic shock
http://babelnet.org/rdf/page/s00015983n,s00015983n,cardiomegaly
http://babelnet.org/rdf/page/s00016626n,s00016626n,cat scratch disease
http://babelnet.org/rdf/page/s00016684n,s00016684n,catarrh
http://babelnet.org/rdf/page/s00016690n,s00016690n,catastrophic illness
http://babelnet.org/rdf/page/s00016842n,s00016842n,cauliflower ear
http://babelnet.org/rdf/page/s00017244n,s00017244n,encephalitis
http://babelnet.org/rdf/page/s00017334n,s00017334n,cerebral hemorrhage
http://babelnet.org/rdf/page/s00017391n,s00017391n,cervicitis
http://babelnet.org/rdf/page/s00017784n,s00017784n,Charcot-Marie-Tooth disease
http://babelnet.org/rdf/page/s00018344n,s00018344n,chilblain
http://babelnet.org/rdf/page/s00018907n,s00018907n,chronic obstructive pulmonary disease
http://babelnet.org/rdf/page/s00019040n,s00019040n,elephantiasis scroti
http://babelnet.org/rdf/page/s00020075n,s00020075n,histamine headache
http://babelnet.org/rdf/page/s00020238n,s00020238n,coccidioidomycosis
http://babelnet.org/rdf/page/s00020580n,s00020580n,colic
http://babelnet.org/rdf/page/s00021219n,s00021219n,communicable disease
http://babelnet.org/rdf/page/s00021388n,s00021388n,complication
http://babelnet.org/rdf/page/s00021677n,s00021677n,conductive hearing loss
http://babelnet.org/rdf/page/s00021810n,s00021810n,genetic disease
http://babelnet.org/rdf/page/s00021872n,s00021872n,Siamese twin
http://babelnet.org/rdf/page/s00021888n,s00021888n,conjunctivitis
http://babelnet.org/rdf/page/s00022126n,s00022126n,contagious disease
http://babelnet.org/rdf/page/s00022798n,s00022798n,coronary occlusion
http://babelnet.org/rdf/page/s00023771n,s00023771n,cretinism
http://babelnet.org/rdf/page/s00024111n,s00024111n,crud
http://babelnet.org/rdf/page/s00024172n,s00024172n,frostbite
http://babelnet.org/rdf/page/s00024395n,s00024395n,procrastination
http://babelnet.org/rdf/page/s00024562n,s00024562n,Cushing's disease
http://babelnet.org/rdf/page/s00024563n,s00024563n,Cushing's syndrome
http://babelnet.org/rdf/page/s00024880n,s00024880n,cyst
http://babelnet.org/rdf/page/s00024883n,s00024883n,fibrocystic breast disease
http://babelnet.org/rdf/page/s00024886n,s00024886n,cystitis
http://babelnet.org/rdf/page/s00025163n,s00025163n,dandruff
http://babelnet.org/rdf/page/s00025463n,s00025463n,daze
http://babelnet.org/rdf/page/s00025915n,s00025915n,deficiency disease
http://babelnet.org/rdf/page/s00025962n,s00025962n,osteoarthritis
http://babelnet.org/rdf/page/s00026057n,s00026057n,delirium
http://babelnet.org/rdf/page/s00026058n,s00026058n,delirium tremens
http://babelnet.org/rdf/page/s00026355n,s00026355n,depersonalization
http://babelnet.org/rdf/page/s00026454n,s00026454n,dermatitis
http://babelnet.org/rdf/page/s00026495n,s00026495n,prolapse
http://babelnet.org/rdf/page/s00026932n,s00026932n,dichromacy
http://babelnet.org/rdf/page/s00027273n,s00027273n,diplegia
http://babelnet.org/rdf/page/s00027547n,s00027547n,disease of the neuromuscular junction
http://babelnet.org/rdf/page/s00027548n,s00027548n,skin disease
http://babelnet.org/rdf/page/s00027746n,s00027746n,distal muscular dystrophy
http://babelnet.org/rdf/page/s00027818n,s00027818n,mental disorder
http://babelnet.org/rdf/page/s00027872n,s00027872n,diverticulum
http://babelnet.org/rdf/page/s00028967n,s00028967n,dryness
http://babelnet.org/rdf/page/s00029273n,s00029273n,dwarfism
http://babelnet.org/rdf/page/s00029308n,s00029308n,dysarthria
http://babelnet.org/rdf/page/s00029318n,s00029318n,dyslexia
http://babelnet.org/rdf/page/s00029320n,s00029320n,dysmenorrhea
http://babelnet.org/rdf/page/s00029322n,s00029322n,dysosmia
http://babelnet.org/rdf/page/s00029323n,s00029323n,Hurler's syndrome
http://babelnet.org/rdf/page/s00029331n,s00029331n,dysplasia
http://babelnet.org/rdf/page/s00029699n,s00029699n,ectopia
http://babelnet.org/rdf/page/s00030318n,s00030318n,elephantiasis
http://babelnet.org/rdf/page/s00030511n,s00030511n,embryonal rhabdomyosarcoma
http://babelnet.org/rdf/page/s00030600n,s00030600n,emphysema
http://babelnet.org/rdf/page/s00030641n,s00030641n,empyema
http://babelnet.org/rdf/page/s00030753n,s00030753n,endemic
http://babelnet.org/rdf/page/s00030778n,s00030778n,metritis
http://babelnet.org/rdf/page/s00031001n,s00031001n,enteropathy
http://babelnet.org/rdf/page/s00031066n,s00031066n,enuresis
http://babelnet.org/rdf/page/s00031142n,s00031142n,epicondylitis
http://babelnet.org/rdf/page/s00031230n,s00031230n,epispadias
http://babelnet.org/rdf/page/s00031255n,s00031255n,epithelioma
http://babelnet.org/rdf/page/s00031504n,s00031504n,erysipelas
http://babelnet.org/rdf/page/s00031510n,s00031510n,erythema nodosum
http://babelnet.org/rdf/page/s00031522n,s00031522n,erythroderma
http://babelnet.org/rdf/page/s00032104n,s00032104n,exanthema subitum
http://babelnet.org/rdf/page/s00032529n,s00032529n,eye disease
http://babelnet.org/rdf/page/s00032531n,s00032531n,sty
http://babelnet.org/rdf/page/s00034420n,s00034420n,filariasis
http://babelnet.org/rdf/page/s00034891n,s00034891n,fistula
http://babelnet.org/rdf/page/s00035106n,s00035106n,flatfoot
http://babelnet.org/rdf/page/s00035153n,s00035153n,flea bite
http://babelnet.org/rdf/page/s00035268n,s00035268n,musca volitans
http://babelnet.org/rdf/page/s00035422n,s00035422n,Wernicke's aphasia
http://babelnet.org/rdf/page/s00035559n,s00035559n,focal seizure
http://babelnet.org/rdf/page/s00035621n,s00035621n,folliculitis
