diseaseLabel,disease,symptomsLabel,symptoms,treatmentLabel,treatment,differentFromLabel,differentFrom,riskLabel,risk,causeLabel,cause,diagnosisLabel,diagnosis,icd9,icd10,umls,mesh,nci,link,description,alsoKnownAs
pedofília,Q8388, , , , ,"Q111746044,Q1191575","Q111746044,Q1191575", , , , , , ,302.2,F65.4,C0030764,D010378,C94355,https://ca.wikipedia.org/wiki/Pedof%C3%ADlia,parafília en la que una persona adulta sent atracció sexual pels menors d'edat, 
Q18638,Q18638, , , , , , , , , , , , , , , , , , , , 
trastorn dissociatiu de la identitat,Q18657, , , , ,"Q2053759,Q64825337,esquizofrènia,labilitat afectiva,persona en un treball o ficció,psicosi,trastorn antisocial de la personalitat,trastorn de la personalitat,àlter ego","Q118418,Q170082,Q201662,Q2053759,Q270673,Q41112,Q64825337,Q65048168,Q7933601", , ,"trauma infantil,trauma psíquic","Q55607365,Q654426","entrevista,observació,qüestionari","Q178651,Q193181,Q747810",300.14,F44.81,C0026773,D009105,C94330,https://ca.wikipedia.org/wiki/Trastorn_dissociatiu_de_la_identitat, , 
esquizofrènia,Q41112,"disfunció cognitiva,psicosi","Q170082,Q57859955","Loxapine,Q144085,Q1452256,Q1752915,Q205517,Q226905,Q2608288,Q27164953,Q27278051,Q2924764,Q2938837,Q4199443,Q423292,Q423520,Q4673284,Q5045786,Q50824517,Q567927,Q58376,Q593166,Q6821618,Thioridazine,amisulprida,aripiprazole,armodafinil,bexarotè,carbamazepina,clonazepam,clorpromazina,clorprotixè,clozapina,haloperidol,olanzapina,reserpina,risperidona","Q144085,Q1452256,Q1752915,Q201872,Q205517,Q221361,Q226905,Q251347,Q2608288,Q27164953,Q27278051,Q2924764,Q2938837,Q407841,Q407972,Q407988,Q410412,Q411188,Q412443,Q418192,Q418785,Q418913,Q4199443,Q423292,Q423520,Q423809,Q4673284,Q5045786,Q50824517,Q567927,Q58375,Q58376,Q58614,Q593166,Q6821618","trastorn dissociatiu de la identitat,trastorn esquizoide de la personalitat","Q18657,Q498237", , , , , , ,"295,295.9,295.90","F20,F20.9",C0036341,D012559,C3362,https://ca.wikipedia.org/wiki/Esquizofr%C3%A8nia,Un tipus de trastorn mental, 
Q127770,Q127770, , , , , , , , , , , , , , , , , , , , 
malenconia,Q192077, , , , ,"Q30038761,Q80149,depressió melancòlica","Q13512178,Q30038761,Q80149", , , , , , ,296.90, , , , ,https://ca.wikipedia.org/wiki/Malenconia,trastorn psiquiàtric,melangia
Q477502,Q477502,"Q1938569,Resposta de lluita o fugida,ansietat,desregulació emocional,malson,solitud,somatització","Q154430,Q1640582,Q192692,Q1938569,Q2723947,Q3316140,Q6010868", , ,"autisme,trastorn límit de la personalitat","Q208166,Q38404", , ,"maltractament infantil,negligència,tràfic de persones,violència domèstica","Q156537,Q167191,Q181784,Q1931511", , , , ,C2733207, , , , , 
monomania,Q917061, , , , ,Q67135649,Q67135649, , , , , , , , ,C0233696, , , , , 
Q941225,Q941225, , , , , , , , , , , , , , , , , , , , 
Q955922,Q955922, , , , , , , , , , , , , , , , , , , , 
megalomania,Q987664, , , , ,Q4280499,Q4280499, , , , , , , , , , , ,https://ca.wikipedia.org/wiki/Megalomania, ,deliri de grandesa
Q1001920,Q1001920, , , , , , , , ,"Q2314176,al·lucinogen","Q194270,Q2314176", , , , , , , , , , 
síndrome de Jerusalem,Q1124410, , , , , , , , , , , , , , , , , ,https://ca.wikipedia.org/wiki/S%C3%ADndrome_de_Jerusalem,grup de fenòmens mentals, 
Q1200256,Q1200256,"Q939378,deliri,hipocondria,pruïja","Q105434,Q189643,Q199602,Q939378", , , , , , ,desconegut,Q24238356, , , , , ,D063726, , , , 
Q1298422,Q1298422, , , , ,Q11856926,Q11856926, , , , , , , , ,C0233695, , , , , 
Q1299035,Q1299035, , , , , , , , , , , , , , , , , , , , 
síndrome de Münchhausen per poders,Q1414765, , , , ,síndrome de Münchhausen,Q642598, , , , , , , , ,C0085277,D016735, ,https://ca.wikipedia.org/wiki/S%C3%ADndrome_de_M%C3%BCnchhausen_per_poders, ,síndrome de Münchhausen per poder
Q1419434,Q1419434, , , , , , , , , , , , ,295.4, ,C0553814, , , , , 
Q1435409,Q1435409, , , , , , , , , , , , , , ,C0036939,D012753, , , , 
Q1472585,Q1472585, , , , , , , , , , , , , , , , , , , , 
Q1973636,Q1973636, , , , , , , , , , , , , , , , , , , , 
Q2053759,Q2053759, , , , , , , , , , , , , , , , , , , , 
dysaethesia aethiopica,Q2336418, , , , , , , , , , , , , , , , , ,https://ca.wikipedia.org/wiki/Dysaethesia_aethiopica, , 
trastorn disfòric premenstrual,Q2728811,disfunció cognitiva,Q57859955, , , , , , , , , , ,625.4,N94.3,C0520676,D065446, ,https://ca.wikipedia.org/wiki/Trastorn_disf%C3%B2ric_premenstrual, ,PMDD
Q2769397,Q2769397, , , , , , , , , , , , , , , , , , , , 
Q3381343,Q3381343, , , , , , , , ,trastorn obsessivocompulsiu,Q178190, , , , , , , , , , 
Q3406281,Q3406281, , , , , , , , , , , , , , ,C0349291, , , , , 
Q3564396,Q3564396, , , , , , , , , , , , , , , , , , , , 
Q4668562,Q4668562,indecisió,Q19357654, , , , , , , , , , , , , , , , , , 
Q4795924,Q4795924, , , , ,Arrested development,Q406469, , , , , , , , , , , , , , 
Q4931259,Q4931259, , , , , , , , , , , , , , , , , , , , 
Q5464019,Q5464019, , , , , , , , , , , , , , , , , , , , 
Q7238040,Q7238040, , , , , , , , , , , , , , , , , , , , 
Q7574962,Q7574962, , , , , , , , , , , , , , , , , , , , 
Q10638540,Q10638540, , , , , , , , , , , , , , , , , , , , 
Q11491595,Q11491595, , , , , , , , , , , , ,302,F64, , , , , , 
Q16642636,Q16642636, , , , , , , , , , , , , , , , , , , , 
Q17285927,Q17285927, , , , ,"sadisme,trastorn antisocial de la personalitat","Q118418,Q5507613", , , , , , , , , , , , , , 
Q25615960,Q25615960, , , , , , , , , , , , , , , , , , , , 
Q90249065,Q90249065, , , , , , , , , , , , , , , , , , , , 
Q110572881,Q110572881, , , , , , , , , , , , , , , , , , , , 
Q111955925,Q111955925, , , , , , , , , , , , , , , , , , , , 
L648846,L648846, , , , , , , , , , , , , , , , , , , , 
L652803,L652803, , , , , , , , , , , , , , , , , , , , 
Q16485,Q16485, , , , ,tenosinovitis d'estiloides radial,Q517202, , , , , , , , , , , , , , 
Q16488,Q16488, , , , , , , , , , , , , , , ,D050032,C114389, , , 
Q25787,Q25787, , , , , , , , , , , , , ,N96, ,D000026, , , , 
avortament espontani,Q28693, , , , ,"avortament,mort fetal","Q745832,Q8452", , , , , , , , ,C0000786,D000022,C34336,https://ca.wikipedia.org/wiki/Avortament_espontani, , 
Q33121,Q33121, , , , , , , , , , , , , , , ,D012713,C79718, , , 
carcinoma,Q33525, , ,"anastrozole,axitinib,bevacizumab,cabazitaxel,dietilestilbestrol,everolimús,ipilimumab,lidocaïna,nilutamida,olaparib,paclitaxel,regorafenib,sirolimús,tolvaptan,trastuzumab","Q216935,Q2459042,Q32089,Q3877030,Q3891664,Q412616,Q412963,Q413299,Q419143,Q421052,Q423762,Q423989,Q426132,Q4830631,Q7083106",angioma,Q397860,fumar,Q662860, , , , , , ,"C0007097,C0553707,C1368683",D002277,"C2916,C3709",https://ca.wikipedia.org/wiki/Carcinoma, , 
hemorroide,Q41478, , ,"Euphorbia prostrata,Fenilefrina,Q1240076,benzocaïna,cortisol","Q1023705,Q1240076,Q190875,Q421910,Q422745",Q4770165,Q4770165, , , , , , ,"455,455.8",K64,C0019112,D006484,C26792,https://ca.wikipedia.org/wiki/Hemorroide, ,hemorroides
hipertensió arterial,Q41861, , ,"(RS)-metoprolol,Esmolol,Minoxidil,Q1078392,Q1169561,Q155472,Q2072745,Q221520,Q2291605,Q27106078,Q27281933,Q27292429,Q277785,Q280786,Q28859607,Q3332124,Q3342150,Q3791957,Q39111,Q410074,Q410291,Q413994,Q414873,Q418101,Q418130,Q419824,Q419948,Q419987,Q420360,Q420644,Q420673,Q421156,Q423804,Q424952,Q425293,Q4747074,Q4747075,Q47495698,Q48566655,Q48566657,Q48566693,Q48566694,Q48566696,Q48566700,Q48566705,Q48566757,Q48566771,Q48566808,Q5613542,Q5613557,Q5613599,Q596022,Q6457467,Q6823919,Q6827783,Q7227099,Q7272222,Q729213,Q733186,Q7697766,Q784717,Q929420,Q944244,Q947266,Q958087,acebutolol,aliskirèn,amilorida,amlodipina,atenolol,atenolol/chlorthalidona,benazepril,bendroflumetiazida,benztiazida,bepridil,betaxolol,bisoprolol,bumetanida,candesartan,captopril,carteolol,carvedilol,ciclotiazida,clonidina,clorotiazida,clortalidona,coenzim Q10,dabigatran etexilat,deserpidina,diltiazem,doxazosina,enalapril,espironolactona,furosemida,hidroclorotiazida,lisinopril,metildopa,prazosina,propranolol,ramipril,reserpina,rivaroxaban,àcid etacrínic","Q1078392,Q1169164,Q1169561,Q155472,Q20078502,Q2072745,Q221520,Q2291605,Q2603363,Q27106078,Q27281933,Q27292429,Q275926,Q277785,Q280786,Q28859607,Q2889971,Q321285,Q3332124,Q3342150,Q3791957,Q388801,Q39111,Q407841,Q409468,Q410074,Q410291,Q411325,Q411347,Q412208,Q412221,Q412515,Q412534,Q412621,Q412666,Q413994,Q414873,Q414904,Q415970,Q418101,Q418130,Q418139,Q418571,Q418857,Q419824,Q419939,Q419948,Q419987,Q419995,Q420262,Q420360,Q420644,Q420673,Q421119,Q421156,Q422185,Q422188,Q422229,Q423364,Q423804,Q423930,Q424165,Q424952,Q425289,Q425293,Q425296,Q4747074,Q4747075,Q47495698,Q48566655,Q48566657,Q48566693,Q48566694,Q48566696,Q48566700,Q48566705,Q48566757,Q48566771,Q48566808,Q4890934,Q5199066,Q5263885,Q546434,Q5613542,Q5613557,Q5613599,Q592802,Q596022,Q6457467,Q6823919,Q6827783,Q7227099,Q7272222,Q729213,Q733186,Q7697766,Q7700570,Q784717,Q794162,Q929420,Q944244,Q947266,Q958087","hipertensió intracranial,hipertensió pulmonar","Q1128595,Q18558125", , , , , , ,"401-405.99,997.91","I10,I10-I15,I15","C0020538,C0497247",D006973,C3117,https://ca.wikipedia.org/wiki/Hipertensi%C3%B3_arterial,malaltia crònica caracteritzada per un increment continu de la pressió sanguínia,"HTA,Hipertens"
meningitis,Q48143,"Q28868265,cefalàlgia,febre,fotofòbia,nàusea,vòmit","Q127076,Q186889,Q281289,Q28868265,Q38933,Q86","Flucitosina,amikacina,ceftriaxona,flucloxacil·lina,minociclina,ofloxacina","Q1994556,Q238490,Q408529,Q411447,Q415336,Q421713", , , , ,"Haemophilus influenzae,Streptococcus pneumoniae,listèria monocitògena,neissèria de la meningitis,virus","Q1141979,Q154625,Q221179,Q292015,Q808","Cultiu microbiològic,Q2916167,cultiu viral,microscopi òptic,punció lumbar,reacció en cadena de la polimerasa","Q1125312,Q176996,Q2916167,Q719444,Q7933598,Q912313","322,322.9","G03,G03.9",C0025289,D008581,C26828,https://ca.wikipedia.org/wiki/Meningitis,inflamació de les meninges, 
peu diabètic,Q52856, , , , , , , , ,diabetis mellitus,Q12206, , , , ,C0206172,D017719, ,https://ca.wikipedia.org/wiki/Peu_diab%C3%A8tic, , 
Q52859,Q52859, , , , , , , , ,neuropatia perifèrica,Q945238, , , , , , , , , , 
Q53829,Q53829, , , , , , , , ,Q2465347,Q2465347, , , , , ,D016606,C3415, , , 
taquicàrdia ventricular,Q56002, , ,"(RS)-metoprolol,Q48566660,amiodarona","Q409468,Q410061,Q48566660", , , , , , , , , ,I47.2,C0042514,D017180,C50802,https://ca.wikipedia.org/wiki/Taquic%C3%A0rdia_ventricular, , 
fractura,Q68833, , ,"Q411781,denosumab","Q408283,Q411781", , , , ,"fractura per sobrecàrrega,traumatisme físic","Q193078,Q41392",radiografia mèdica,Q4115819, , ,C0016658,D050723,C3046,https://ca.wikipedia.org/wiki/Fractura_(medicina),trencament d'un os, 
picada de serp,Q68854, , , , ,Q2454710,Q2454710, , ,atac d'animal,Q17450153, , , ,T63.0,C0037379,D012909, ,https://ca.wikipedia.org/wiki/Picada_de_serp,malaltia causada per la mossegada d'una serp, 
berruga,Q101971, , , , ,Q97375128,Q97375128, , ,virus del papil·loma humà,Q184627, , , , ,C3665596,D014860, ,https://ca.wikipedia.org/wiki/Berruga,lesió cutània causada pel virus del papil·loma humà, 
hipòxia,Q105688, , , , ,hipòxia ambiental,Q1641506, , , , , , , , ,C0700292,D000860,C3890,https://ca.wikipedia.org/wiki/Hip%C3%B2xia,condició mèdica, 
espasticitat,Q117060, , ,"Q2149443,Q418351,Q423538,Q6823309,baclofèn,carisoprodol,ciclobenzaprina,clonidina,clormezanona,dantrolè,diazepam","Q210402,Q2149443,Q412221,Q413717,Q416905,Q418351,Q421274,Q423538,Q5102983,Q5198674,Q6823309",Q7573993,Q7573993, , , , , , , , ,C0026838,D009128,C79750,https://ca.wikipedia.org/wiki/Espasticitat, , 
caspa,Q117484, , , , , , , , , , , , ,690.18, ,C0423775,D063807,C111657,https://ca.wikipedia.org/wiki/Caspa, ,arna
Q119660,Q119660, , , , , , , , , , , , , , , , , , , , 
Q121576,Q121576, , , , , , , , , , , , , , ,"C1275966,C1961121",D054079,C112117, , , 
coprolàlia,Q125466, , , , , , , , , , , , , , ,C0233729, , ,https://ca.wikipedia.org/wiki/Coprol%C3%A0lia, , 
gota,Q133087,"artràlgia,embassament articular,eritema,inflor","Q109186,Q1166142,Q1499629,Q683498","Q3790542,Q417296,Q7160794,Q900898,Q963093,al·lopurinol,colquicina,diclofenac,ibuprofèn,indometacina,naproxèn,àcid acetilsalicílic","Q1215575,Q18216,Q186969,Q244408,Q326224,Q3790542,Q409231,Q412486,Q417296,Q7160794,Q900898,Q963093", , , , , , , , ,"274,274.0,274.00,274.9","M10,M10.9","C0003868,C0018099",D006073,C34650,https://ca.wikipedia.org/wiki/Gota_(malaltia), , 
migranya,Q133823,"cefalàlgia,eructe,fotofòbia,nàusea,vòmit","Q127076,Q186889,Q209789,Q281289,Q86","Q2014797,Q212171,Q218820,Q219957,Q221174,Q4095199,Q410346,Q421315,almotriptan,amitriptilina,buprenorfina,butorfanol,clonixina,diclofenac,dihidroergotamina,duloxetina,eletriptan,ergotamina,fentanil,gabapentina,ibuprofèn,naproxèn,paracetamol,pregabalina,propranolol,sumatriptan,triptan,venlafaxina","Q1185089,Q1215575,Q186969,Q2014797,Q212171,Q218820,Q219957,Q221174,Q244408,Q407541,Q407721,Q4095199,Q409729,Q410346,Q410352,Q411932,Q412174,Q415032,Q416978,Q419186,Q421315,Q421336,Q423364,Q423866,Q5135028,Q57055,Q58397,Q898407", , , , ,desconegut,Q24238356,"exploració física,neuroimatge","Q551875,Q835153","346,346.80,346.9,346.90","G43,G43.9,G43.909","C0042331,C0149931,C0744641",D008881,C89715,https://ca.wikipedia.org/wiki/Migranya,cefalàlgia intensa i molt incapacitant per a la persona que en pateix, 
