diseaseLabel,disease,symptomsLabel,symptoms,treatmentLabel,treatment,differentFromLabel,differentFrom,riskLabel,risk,causeLabel,cause,diagnosisLabel,diagnosis,icd9,icd10,umls,mesh,nci,link,description,alsoKnownAs
abdomen agudo,Q424317, , , , , , , , , , , , , , , ,D000006, ,https://es.wikipedia.org/wiki/Abdomen_agudo, , 
Síndrome de leche y alcalinos,Q441094, , , , , , , , , , , , , , , , , ,https://es.wikipedia.org/wiki/S%C3%ADndrome_de_leche_y_alcalinos,Enfermedad causada por niveles muy altos de calcio y álcali.,Síndrome de calcio-álcali
aluminosis del pulmón,Q447828, , , , , , , , , , , , , , ,C0311227, , ,https://es.wikipedia.org/wiki/Aluminosis_del_pulm%C3%B3n,enfermedad pulmonar,neumoconiosis por aluminio
alveolitis,Q448747, , , , , , , , , , , , , , , , , ,https://es.wikipedia.org/wiki/Alveolitis, , 
síndrome de descompresión,Q460591,"Formicación,Q3954319,alteración visual,amnesia,artralgia,cansancio,cefalea,confusión mental,convulsión,disnea,dolor,hiperestesia,labilidad emocional,mareo,náusea,parestesia,parálisis,picor,pérdida de la conciencia,sordera,trastorno de la continencia,vértigo,vómito","Q10686316,Q107231,Q10916362,Q11072,Q12133,Q127076,Q12829165,Q1638131,Q186889,Q188008,Q199602,Q2266426,Q3232712,Q3954319,Q5470185,Q557945,Q683498,Q769220,Q7933601,Q81938,Q852376,Q86,Q9690", , ,embolia gaseosa,Q1367304, , ,Q1183684,Q1183684, , , , , ,D003665, ,https://es.wikipedia.org/wiki/S%C3%ADndrome_de_descompresi%C3%B3n, ,"accidente de descompresión,aeroembolismo,enfermedad de los buzos,enfermedad por descompresión,síndrome de descompresión rápida"
Q462833,Q462833,"Q58184039,alucinación,amnesia,delirio,desorientación","Q11072,Q130741,Q1895873,Q189643,Q58184039", , , , , , , , , , , , , , , , , , 
efectos del tabaco en la salud,Q465016, , , , , , , , , , , , , , , , , ,https://es.wikipedia.org/wiki/Efectos_del_tabaco_en_la_salud, , 
Q471778,Q471778, , , , , , , , , , , , ,270.0,E72.0,C0268641,D020157, , , , 
cretinismo,Q472664, , , , , , , , , , , , , , , , , ,https://es.wikipedia.org/wiki/Cretinismo, ,Cretinos
Gestosis,Q476814, , , , , , , , , , , , , , ,"C0032914,C1321782", , ,https://es.wikipedia.org/wiki/Gestosis,síndromes del embarazo, 
cifosicarcosis,Q478389, , , , , , , , , , , , , , ,"C0022821,C1845112",D007738,C34754,https://es.wikipedia.org/wiki/Cifosis,enfermedad,"Joroba,Xifosis"
anasarca,Q486485, , ,"Amilorida,Bendroflumetiazida,Benzotiazida,Bumetanida,Captopril,Clorotiazida,Clortalidona,Enalapril,Espironolactona,Hidroflumetiazida,Metolazona,Prednisolona,Q1078392,Q27281933,Q3837481,Q5986553,Q7272222,Torasemida,Triamtereno,Triclormetiazida,ciclotiazida,danazol,furosemida,hidroclorotiazida,meticlotiazida,politiazida,Ácido etacrínico","Q1078392,Q11426176,Q1169164,Q1169561,Q2072745,Q221520,Q2603363,Q27281933,Q275926,Q2889971,Q3791957,Q3837481,Q388801,Q418571,Q419652,Q419948,Q419995,Q421119,Q422185,Q422188,Q423930,Q425289,Q5199066,Q5986553,Q6823919,Q7227099,Q7272222", , , , , , , , , , , , ,C98811,https://es.wikipedia.org/wiki/Anasarca,Edema generalizado, 
Q487231,Q487231, , , , , , , , , , , , , , , ,D057868, , , , 
Hibernoma,Q499857, , , , , , , , , , , , , , ,C0205822, ,C3702,https://es.wikipedia.org/wiki/Hibernoma, , 
gigantismo,Q501829, , , , ,"Gigantismo abisal,Q63441625","Q1148685,Q63441625", , , , , , , ,E22.0,C0017547,D005877, ,https://es.wikipedia.org/wiki/Gigantismo,enfermedad humana, 
neurastenia,Q510236, , , , , , , , , , , , , , , ,D009440, ,https://es.wikipedia.org/wiki/Neurastenia, , 
artritis psoriásica,Q511097, , ,"Auranofín,Etanercept,Q2858961,aurotioglucosa","Q2858961,Q4072449,Q415343,Q421230", , , , , , , , ,696.0,"L40.5,L40.50",C0003872,D015535,C61277,https://es.wikipedia.org/wiki/Artritis_psori%C3%A1sica, ,"artritis psoriasica,artropatia psoriasica,artropatía psoriásica,psoriasis artropatica,psoriasis artropática"
tetania,Q511818,contracción tetánica,Q1632123,"Q5018826,cloruro de calcio,gluconato cálcico","Q208451,Q413739,Q5018826", , , , ,hipocalcemia,Q936382, , , , ,C0039621,D013746,C114789,https://es.wikipedia.org/wiki/Tetania, , 
Parafasia,Q512942, , , , , , , , , , , , , , ,C0234488, , ,https://es.wikipedia.org/wiki/Parafasia, , 
Hamartoma,Q525075, , , , , , , , , , , , ,759.6, ,C0018552,D006222, ,https://es.wikipedia.org/wiki/Hamartoma, , 
Q557009,Q557009, , , , , , , , , , , , , , ,C0265228, ,C99008, , , 
Hepatopatía alcohólica,Q558404,"ictericia,náusea","Q133244,Q186889", , , , , , ,consumo de alcohol,Q2647488,"Q1359801,hemograma","Q1359801,Q886518", , , ,D008108, ,https://es.wikipedia.org/wiki/Hepatopat%C3%ADa_alcoh%C3%B3lica, ,"Hepatopatia alcoholica,Hepatopatia alcohólica,Hepatopatia enolica,Hepatopatia enólica,Hepatopatía alcoholica,Hepatopatía enolica,Hepatopatía enólica"
anoxia,Q568321, , , , , , , , , , , , , , , , ,C2876,https://es.wikipedia.org/wiki/Anoxia,falta casi total del oxígeno en un tejido,"anoxemia,anóxica,anóxico,anóxida,anóxidas,anóxido,anóxidos"
Síndrome de Eisenmenger,Q572695, , , , , , , , , , , , , ,I27.2,C0013743,D004541,C84390,https://es.wikipedia.org/wiki/S%C3%ADndrome_de_Eisenmenger, ,Sindrome de Eisenmenger
Q574975,Q574975,"Q1929023,hipermetropía,hipertermia,midriasis,oliguria,ruborización,taquicardia,visión borrosa,xerostomía","Q1128283,Q1162276,Q177254,Q1929023,Q209583,Q242165,Q3443277,Q4930803,Q961326", , , , , , ,anticolinérgico,Q113259, , , , , ,D064807, , , , 
